smiles,zero_point_energy
CC(=O)NC(=O)N1CC1,0.134493
OC1=COC(=N)C=C1O,0.101088
CC1CCOCCC1O,0.206837
NC(=O)CC1CC1C#C,0.145772
CCC1NC1C#CC,0.164015
CC1(C)OC=NC1C=O,0.145677
CC12CC1(OCO2)C#N,0.12356
CC1C2OC2C2CN12,0.143543
CC12CC(C)(O1)C=CC2,0.182098
OC12C3C1C1(O)C2C31O,0.108759
CC12CC(C=C1)C(=O)O2,0.13716
CC(C#N)C1NC1C#C,0.134551
CCN(C)CC(=O)CO,0.191113
CC1C(C2CN2C)N1C,0.204138
CC12CC(C1)C(=O)N2,0.143737
CC1OC2CC3CC12O3,0.159959
CCOCCOC(C)C,0.225152
CC(=O)C(=O)OCC#C,0.10809
CC1(O)CC1CCCO,0.202901
CC12CCC(CC1)C2=O,0.184784
CCC1NC1C=O,0.13579
CC12CC1CC1CCC21,0.208284
C#CCN=C1NCCO1,0.136487
CC(OC(=O)CO)C#N,0.121359
OCC1CC(=O)C2OC12,0.135523
CC(C)(C)C#CC#C,0.150203
CC12CC(O1)C(C)(O)C2,0.181153
CCC1OC2CC1CO2,0.184926
CC12NC(CC=C1)C2=O,0.148682
CCNC1=CNN=C1C,0.171729
CN1C2CC(O)C12,0.136746
C1NC1C12OC1C1NC21,0.136033
O=C1CNCC(=O)NC1,0.137613
COCC(C#C)C#CC,0.154757
OCCCC1CC2CN12,0.194208
CC(O)C(=O)NC=N,0.129793
CN(C)C(C=O)C1CO1,0.167564
CC1CCC=CN1C=O,0.172635
O=C1CC2C3CC3N12,0.120176
CC1CC(C#C)C11CC1,0.181038
CC1(CCC1)C(O)CO,0.204628
CCC1C2CC2C=C1C,0.206209
CC1(CC1)OCC1CO1,0.180186
OC1CC2OC1C1OC21,0.137959
CC1CC23CCC2(C1)O3,0.183724
N#CCOC1=NC=NO1,0.077935
CN=C1OC2CCC12O,0.146618
CCCC(C)C1OC1C,0.226429
CC(C)C1(CCN1)C#N,0.182118
C1C2C3C4COC2C1N34,0.152301
CC1(CC#N)NC1C=O,0.133995
CC#CCC(O)C1CC1,0.179791
CCC1CC1(O)C(C)=O,0.17908
CC1OCCC(O)C1C,0.206121
CNC(C#N)C1(C)CO1,0.157699
CC1=CC(CC=O)=NO1,0.122584
O1N=NC=C2C=CC=C12,0.089786
CC1CC(O)C(C)C1=O,0.181236
CC1C2C3N1C2C31CC1,0.171008
CC(CC#N)OC(C)=O,0.14476
NC(C#N)C1(CO1)C#C,0.110628
OC1COCC1O,0.125991
CC1CCCC(=O)NC1,0.196416
COC(C)(CO)CO,0.174319
CC1CCC11CC1,0.171871
CC#CC1CCC1=O,0.128393
CCC1(C)CCC1C#C,0.203782
CC1=CC(=N)OC(C)=N1,0.135638
CC1C2(C)OC(C)C12C,0.203129
COC1=NCCC(=O)N1,0.137487
CC1(O)C2C3OC3(C)C12,0.156702
O=CNC1=COC(=O)O1,0.077534
COC=NC1CC1C=O,0.144767
O=C1CN2CC1C1CC21,0.151278
CC1(C)CC2CC1C2=O,0.183
N#CCC1C2CCCN12,0.16159
CC1CC2(O)CC12O,0.151592
O=C1C2CC(N2)C1=O,0.096672
CC#CC1C(O)C1(C)O,0.15491
O=C1NC=NCC1C#C,0.113607
CC1=CCC(=O)C1(C)O,0.156844
CC(C)C1=CC=C(C)N1,0.194113
CC#CCC(C)(O)C#N,0.143668
CCN1CC1CCC#N,0.181713
O=C1OC2CC2C11CC1,0.137106
OC1CC2C(OC12)C=O,0.134361
OC1C2OC2(C#N)C1=O,0.075136
CC1=NOC(N)=C1,0.102364
CC12CC3(CC1C23)C=O,0.158578
NC1=NOC(C=O)=C1N,0.101327
CC(C)N1CCCC1=O,0.195018
CN=C1ON=NC=C1F,0.086314
C1CC2=CCC3OC3C12,0.161618
CCN1CC1CC(C)C,0.238739
CCCC1N(C)C1(C)C,0.237557
NC1=CC(=CO1)N1CC1,0.136907
CC1(CC2CCC12)C=O,0.181972
OC1CCC=C(C1)C=O,0.159689
CCC(C)C(O)CCO,0.226133
OCC1C2CC1C21CN1,0.171836
CC12CC(C)(C1)C=CC2,0.206575
C1OCC2=C(NN=C2)O1,0.116924
N=C1OCC2OCC2O1,0.126171
CCCC1=CC=NC=C1,0.17321
CC12CC(C1)C=CC=C2,0.185161
OC1=NC(=N)NN=N1,0.074741
N#CC12CN1CC1OC21,0.113921
CCC(=O)C1COC1C,0.180218
CCC1CC2(CO)OC12,0.181185
CN(CC#C)C1COC1,0.168944
CCC1=C(OC)C=NO1,0.146802
OC12CC1OC=NCC2,0.148361
CCOC1CC2C1N2C,0.192848
CCC(OC)C(C)C#N,0.191484
CCC(C#CC)C1CC1,0.203626
CC1=C(N)C(=N)C=NO1,0.124856
O1C=CC=C2N=CC=C12,0.104913
N#CC1C2OC1C2C#N,0.089279
CNCC1(CCO1)C#N,0.158812
CC(=O)C1(C)CC1C=O,0.155869
N#CC1C2OC1C=C2,0.096636
CC(N)=[NH+][C-](C#N)C#N,0.111768
COC12CC1(C)COC2,0.18182
CC1C2C3OC1C23C#N,0.124598
CC1(CC1)C1CCO1,0.177001
CC1OC(=N)C2(C)OC12,0.146967
OC1=CC=NC(=O)O1,0.072646
C1C=CC23OC(C=C2)C13,0.137848
OCC1CCC1(O)C#C,0.156469
COC1=CN2CCC2=C1,0.148932
CCC1COC1(C)CC,0.226999
O=CC1CCOC=N1,0.119703
COCCCC1(C)CC1,0.227035
O=C1OC2COCOC12,0.114081
CCC1OCC1C(C)C,0.227592
CCN1C2CC3(CC3)C12,0.194111
CC1N2CC2(CO)C1=O,0.146299
NC1=NC2C3NC2C13O,0.126447
CC1COC(C)C(O)C1,0.206017
CCC(C#N)C1CC1,0.165135
CC1C(C#N)C2CC12O,0.146733
CCC(C)(C=O)C#N,0.139318
CC(C)CC(O)C(C)C,0.249189
CC(=O)C1=C(C)ON=N1,0.109964
OCC#C,0.060632
CC1N2CCC3C2C13O,0.172358
CC1C2C3OC1C23C#C,0.13474
CC12CC(O)C1(CO)O2,0.156822
O=C1NC2CC12C1CC1,0.14842
ON=C1CCCC1=O,0.118965
COC(=O)N1C2CCC12,0.147132
CN1N=CC(=O)C(C)=N1,0.124097
N=CN(C=N)C(=N)C#C,0.112012
OC1CC2OC12C1CO1,0.134903
CC12C3CC1(C)CC23O,0.181382
NC12COC1C2C#N,0.10773
CC1CCC1(O)CC#C,0.179939
CCC1=CC(NC1)C#N,0.160307
CC1OC11C2NC2C1C,0.169668
CC12OC1C(C=C2)C#N,0.123993
CNC1=C(C)OC(N)=N1,0.147986
OC1CC2(CN2)C2NC12,0.161836
CC1C2C3COC1CN23,0.174346
CCC1CC=CC1,0.172794
O=C1OC23CN(C2)CC13,0.12685
CC#CCC(=O)OC=N,0.120932
CCC1OC2CC12O,0.152267
CC12OC(=O)C1C2CO,0.134413
O=CN(CC1CC1)C=O,0.146188
N#CC1OC23CC(C2)C13,0.124903
NC1=CC([O-])=NC(=[NH2+])N1,0.115514
CC(O)C(C)OC(C)=O,0.178643
OCC1=NCC(=O)CO1,0.123517
C1CC2(C1)CC1OCC21,0.183749
C1NC11COC2COC12,0.149581
CCC1(CC1O)C(C)=O,0.179364
CC1OC(=O)C(C=O)=C1,0.111652
OCC12C3CC1C1C3N21,0.149445
NC1=C(OC=N)OC=C1,0.112905
CCC1C(CC)C1OC,0.226886
COCCN1C=NC=N1,0.149234
CC12CC1(C)C(N2)C#N,0.158579
OCC(CC1CO1)C#C,0.156278
CC(=O)C(C)(C)C(C)=O,0.177472
O=C1C=CNCC1C#C,0.125003
CCC1(CO)C2CC1C2,0.206316
N=C1CNC(=O)C(=O)N1,0.103295
CC(C)(C)OC1(C)CC1,0.224967
C1C23CCC12OC=NC3,0.150197
O=C1C=C2CN3CC1C23,0.126736
CNC(=[NH2+])C(=N[O-])C#N,0.111276
C1C2C3CC=CC1C23,0.157443
CC1=NNN=C1C#N,0.085889
O=C1CC2(C1)OCC=C2,0.13473
C1C=CC23OC4C2NC134,0.12591
OC1C=CC2COC1O2,0.138452
CC12CC3OC1C3(C)O2,0.15866
CC1CC11CCC11CO1,0.181493
O=C1C2C3C1CCN23,0.12113
OC1CC2N3CC3C12O,0.147106
COC1(CC1C)C(C)=O,0.178723
CC12C3CC1C=CC2O3,0.160969
CC12NC1CC2(C)C,0.187941
CCCC1CC2(CC2)O1,0.204562
OCC1=COC(=O)C=N1,0.101077
OC1=NOC(CC#C)=C1,0.099903
CC1(C)CCCC=C1,0.201514
CC12CC(O)(C#C)C1N2,0.145151
CC12CCC1CC21CO1,0.181907
O=CNCC1COC1=O,0.124781
C#CC12CC(O1)C21CO1,0.110269
CC1NC11C=CCC1=O,0.14779
CC1CC1OC1(C)CC1,0.203407
C1C2N=C3OC4C2C1C34,0.125695
CC12COC(OC1)C=C2,0.161064
CC(O)CN1C=CC=N1,0.160296
OC1C2CCC3CN3C12,0.173652
OC1CCC2CC2C=C1,0.184534
CC1CC2(C)OC3C1C23,0.183037
CN(CCOC=O)C=O,0.14553
CC1N(C)C11CCC1=O,0.168687
CC1C(O)C1(C)CC=O,0.17874
O=C1NC2CC3CN1C23,0.140094
O=C1C2CC(C=C2)C1=O,0.114375
CN=C1CCC(=O)N1C,0.159687
CC1=NNN=C1CO,0.120316
ON=C1CC2NC2C1O,0.136688
O=CC1C(C=O)N1C=O,0.097654
CC12C(CC1O)N2C=O,0.145735
COCC12CCC1(C)O2,0.180006
COC1CC1OC(C)=O,0.155726
N#CC1COCO1,0.091473
CC1C2OCC(C)OC12,0.182308
C1OC2C1N1C=NCC21,0.139443
NC1=NNC=C1,0.088014
CC1(C)CCC(=N)OC1,0.194892
NC1=C(CC=O)C=CN1,0.136738
CC1COC2=CN=CN12,0.139013
C(C1CC1)C1OCCO1,0.183213
NC1=NNC(CO)=C1,0.121111
CC1=C(C)C(=N)NN=C1,0.148752
CC1=CC(C)(O)C2NC12,0.170526
COC1=NC=CC=C1N,0.138153
OC(C=O)C1(CC1)C#N,0.122716
O=CC(=O)C1CN=CO1,0.100077
N=C(CC1CO1)OC=O,0.122575
COC=NC1(C)CC1O,0.167889
CC#CC1=CN=CC=N1,0.113751
CC1CCCC(C)(O)C1,0.229317
C1CC=CC2NC2C1,0.168985
CC1=CC2(CC2)CCC1,0.207261
CNC(=O)CC(=O)NC,0.158387
CC(C#CC=O)C(C)=O,0.131392
CN1C2CCCOCC12,0.196393
OCC12CC=CCC1N2,0.173164
C1CC2(C1)CC=CCO2,0.184115
CCC1=CNC(O)=C1C,0.169891
NC(CC(N)C#N)C#N,0.136047
CCNC(=O)C(C)OC,0.191852
NC(=O)C#CC(N)=O,0.082453
CC12CC=CC(O1)C2=O,0.135627
CC1OC2CC1(C)CO2,0.18391
CCC1C(CO)C1C#C,0.180513
CC1C(C)C11CC(C)C1,0.227473
COC1=C(C)NC(N)=N1,0.147794
CC(N)(C#C)C(F)(F)F,0.106606
O=C1C2C=CC1C21CO1,0.112464
OCC1CC2CC3C1N23,0.173806
CC(C)C1CN(C1)C=O,0.19319
CCC(C)OCC#CC,0.201636
CC1OC1C1=COC=C1,0.136148
OC1C2CC(C#N)C1O2,0.125621
OCC1CC2C1OC2=O,0.136206
CC(C1CO1)C(C)=O,0.150839
O=C1NC2COC(=O)C12,0.102488
CC1CC2COC2=N1,0.143644
O=C1CCC=C1C#N,0.09636
N=C1OCC11C2CN1C2,0.137848
N=C1OCCN1C=O,0.108574
N=C1NN=NC(=O)N1,0.0741
CC1(OCC=C1)C1CC1,0.18208
CC12CC(C1)C1CC2O1,0.18563
CC1=CC2C3CC=C1C23,0.160568
CCC12CC3C(CC1)C23,0.208104
CC1(OC=N)OCC=C1,0.146326
CC1CC(C)(CC#N)C1,0.193237
OC1(C#C)C2C3CC3C12,0.134021
OC1CC2OC(=N)C12O,0.123242
CCN1C2CC2OC1=O,0.148278
CC(=O)CCCNC=O,0.16827
CC1OC1C(=O)CC#N,0.121589
CC1OC2C3OC2C3O1,0.136406
CCCC1=CNC(C)=N1,0.18297
NC(=O)C#CC(O)C=O,0.097704
CC1CN(C1)C(=O)CO,0.170094
CC12CC(OCO1)C2O,0.159596
OCCC1(CC1)C#C,0.151696
O=C(CC#C)NCC#N,0.110628
CC(CC#C)C1CCC1,0.204316
CCOC1=CNC(C)=N1,0.158902
CCC1=CC(=O)CC1,0.15403
OC12C3CC(C13)C21CN1,0.148436
OC1CC2COC2C1O,0.161709
N#CC1CCCCO1,0.144316
CC#CC(=O)C(=O)CO,0.107766
CC(OC(C)C#N)C#N,0.133322
C1CN2C3C4OC(C34)C12,0.150848
O=C1CC(C1)C#C,0.099791
O=CC1C2COCOC12,0.136972
CC1(O)C2NC(=O)NC12,0.13629
CC1C2CC(O)C12C,0.176312
C1CC2C3OC3C3C1C23,0.163375
CC1CC1OC1CC1O,0.18049
CC12CCC1C1CC2O1,0.18478
OCC(=O)C1CC2CC12,0.158777
OCCC1CCC(=O)C1,0.182074
O=CC1OC1C1CCO1,0.134442
CC1(C)COCC1(C)C,0.227834
NCC(CO)(C#N)C#N,0.123282
C1CC2C3C4OC3(C1)C24,0.161953
CCC1CCC2CC12O,0.2063
OC1CC2(NCC12)C#N,0.137627
C1OC2C3CN(C3)C12,0.14614
C#CC1(CO1)C1CCO1,0.133985
CCOC1C(C)C1C,0.198236
CC1CNC2COC2=N1,0.162144
CC12OC1CC1CC2C1,0.184756
CC12OC1C1OC=NC21,0.125059
CC1C(CO)COC1=N,0.171678
NC1=NC=C(O1)C=O,0.08497
CC1=CCCCC1CO,0.206674
OC12C3CCC1OCC23,0.161771
C1C2NC2C=CC2OC12,0.15038
CC12OC1C=CCC2=O,0.135391
CC1OC2(COC12)C=O,0.133944
C1OC2C3C=CC(=C1)C23,0.138497
CC1(C)OC2CC=CC12,0.182607
OCCC1COC1,0.148082
N#CC12CC3C1CN23,0.108628
O=C1CC23CCC2CN13,0.148933
O=CC1=CC=NN1,0.080965
CC1OC23CC4C2CC134,0.159184
CC1CC2(CC#C)NC12,0.169676
OC1C2C(O)CC12C=O,0.134999
O=C1CNCCOCO1,0.149824
CC1C(NC1C=O)C=O,0.145338
CC(C)C(=O)C1CN1C,0.19174
CC1=C2C(O)CC2OC1,0.15907
CC(=O)NCC(C)=NO,0.156238
N#CC1=NN=C(O1)C#N,0.043175
CCC1(C)CC(N1)C#N,0.181903
CCOC1COC(C)C1,0.204896
OC1C(C#N)C1C1CC1,0.147098
CCCN=C1OCC1N,0.182265
CNC1=C(C)OC=C1C,0.169943
CC1C2CC=C(C)C12C,0.205291
N=COC(=O)NC1CC1,0.1356
C1CC1C1=NC=NC=N1,0.127565
CC(=O)C(CO)OC=O,0.132287
CC1(O)C2C3CC3C12O,0.157043
CC12CC(C1)(C2)C1CC1,0.206247
O=C1CC2C(C#C)C12,0.106032
CCN=C1C=NNN=N1,0.124701
CCN1CC(C)C(=O)C1,0.193347
CCC(=O)C1NC1CO,0.169186
CCC1C2CC1C2OC,0.205578
FC1=NC(=O)NC=C1,0.073943
OC1C2CCC1N=CO2,0.151002
CC1=CC=NN1C=O,0.108254
COCC(C)C(=O)CO,0.178933
CC1=C(F)C(=N)OC=N1,0.100415
CC1C(O)C=CNC1=O,0.148486
CC1(C)OCC=C1C#C,0.156417
N=C1C=COC(=O)N=C1,0.090301
CC(CO)C(C)CCO,0.22635
OCC1(CC1O)C#C,0.128566
CC1CC11OC=NC1C,0.170647
CC12CC1C(O)(C2)C#C,0.156651
NC(=O)C1=NC=CN=C1,0.103718
COCC1C2CC1C2,0.177808
CC1(C)CCCCC=C1,0.230196
CC12CC1(C)COC2,0.177345
CC12NCC1(O)C2C#N,0.134916
OCCC1CC(N1)C#N,0.159384
O=COC1=CC=CC=C1,0.114007
OC1CC2CC1(O)C2,0.155247
CCC12CC(C1O)N2C,0.192826
C1OCC11NCC2OC12,0.148837
CC1C2CC(=O)NC12,0.143903
CN=C1OC=CC(=O)O1,0.100106
CC12CCC(C1)C1OC21,0.185316
CC1=C(C=NO1)N(=O)=O,0.088281
CCOC(C#C)C#N,0.115738
CC1(C=O)N=CNC1=N,0.123594
CCC#CC1CCOC1,0.182859
CC1CCCC1(O)C=O,0.181008
CC12OC3CC1C3C2=O,0.13629
NC(=O)C1=NNC(=O)N1,0.091149
N=C1N(CC11CN1)C=O,0.125099
CC1=CCC2CC12C#C,0.158561
CNC(=O)C1(C)NC1C,0.181455
C1CC1C#CC1CN1,0.14275
CN1CC11C2OC2C1O,0.146057
COC(=N)NC(=N)C#C,0.122639
CCCC(C)C(N)C#N,0.204622
NC(=O)C(C#C)C(N)=O,0.110981
OC1CN(C1)C=O,0.113161
OC12CC3CCC(C1)C23,0.184765
CC1C2CC2C1(O)C=O,0.157787
OC1CNC2=COC=C12,0.126973
CC1C2CC2C2CC12O,0.183193
CCC12CC3C(C1O)N23,0.171249
O=C1CCC2=C1N=CN2,0.116323
CC1C2C3N2C(=O)C13O,0.123285
OC1C(=O)C(O)C11CN1,0.122312
CC1=CC2CC(CO2)C1,0.185482
N#CC1CN2N=CC=C12,0.103858
OCC1=CCC2NC12,0.143671
CC1NC(=O)NC1=O,0.108464
C1C2(CCO2)C11CCO1,0.158617
N#CCC1(CC1)N1CC1,0.158789
CC1=NC=CN1C=O,0.108269
CCC12C3C4C(C13)C24C,0.181192
C1C=CC2=CC=NN12,0.111329
CC(C=O)C1(CO)CC1,0.179733
OCCC1CN1CC#C,0.168526
OCC1(CN=CO1)C=O,0.123817
CC(=O)CN1CC1C#N,0.133526
O=C(C#C)C#N,0.036304
C1C2C3CCN=C3N12,0.133331
CC1C2C(CO)N2C1=O,0.146696
CC1(O)CC(C)(O)C1=O,0.154994
C1C2NC2C11CCOC1,0.173193
C1C2C3C4OCOC13C24,0.138549
O=CC12C3COC1CN23,0.125365
CC1COCCC(=O)N1,0.172631
CC(=O)NC(=O)CC=O,0.120669
CC(C)C1=CN=NN1C,0.171165
CC#CC1C2CC(=O)C12,0.134367
CC1CCC2=CNC=C12,0.174328
CC1C2C3OC(C23)C1=O,0.136601
CC1(CN1)C1NC1C#N,0.14796
CC1C2OC2C2C(O)C12,0.160584
C1CC1C1=CON=C1,0.120417
C1OC1C1NC11CCC1,0.17108
CCC1OC2CN3C2C13,0.17252
CCNC(=O)CC1CN1,0.182784
O=CC1C2CC3(CO3)C12,0.135031
CC1CN(CC=C1)C=O,0.172329
NC(=O)N1C=NCC1=O,0.10198
N#CC12CN3C1CCC23,0.138991
CC1=CC2COC1C2=O,0.136759
CCC(C)C1=COC=N1,0.171376
OC12CC1C1(O)CCC21,0.158259
NC1=CC=C(O)C=C1O,0.125338
O=C(COCC#N)C#N,0.08625
OCC12CC(C1)C1CC21,0.184628
CC1CC=C(C)C(=O)N1,0.171744
CC12C3C(O)C1C3C2=O,0.134972
CC1(CC(N)=O)CC1,0.164397
CCN(C)C(=O)C1CO1,0.169059
OC12CC1CCC21CN1,0.172599
CCC1(CN1)C1CN1,0.178078
CC(CO)N1N=NN=N1,0.123763
CC(O)C(=O)CCO,0.150718
OC1C=C2CC3C1C23O,0.13517
NC(=O)C1CC(N1)C#N,0.12519
C1C=CC23NC4C2NC134,0.138957
CC1CC2(C)OC2CO1,0.182133
CCC1OC(C)(C)C1O,0.202788
CC1(C)OC(=N)NC1=N,0.147509
N#CCCC1=CON=N1,0.100988
CN1N=CC(O)=C1C,0.130406
NC1=NNC=C1C1CO1,0.126257
COCC1(CC#N)CN1,0.158471
CCC1=CNN=C1CC,0.18359
CC1=CNC=C1CC#C,0.147151
CC1C(O)CC2NC12C,0.195406
CC1CC11CC(C)C1C,0.227843
CN1C2C(O)CC12CO,0.169524
CC12CNC1C2(O)C#N,0.135604
CC1CC2(O)CC2O1,0.153286
CC1CCC(C#C)C1O,0.182058
C1OC23CC4C(C2)N4C13,0.151611
OC1CC(O)C(=O)C1,0.129755
CC1(CN1)C1CN1C=O,0.158672
COC1C(O)CC1O,0.15282
CC12CC(=O)C1(CO)O2,0.13311
OC1CC11CC2CC12,0.153899
O=CC1CC2C1OC2=O,0.112161
OCC12OC3CCC1C23,0.160654
C1C2OC3COC(C3)C12,0.162604
O=CC1CCCC2CC12,0.184326
CC1CC11OCC1C=O,0.15697
CN=C1CN=C(N1)C#C,0.123168
NC1=C(CO)NN=N1,0.108809
O=CC1OCC2CCC12,0.160403
C#CC1C2NC2C11CC1,0.146982
CC1CC2(C)CCC2O1,0.206287
COC1=CC(C)=CO1,0.129738
CC(C=O)C12CC1CC2,0.181208
C1C2CCCOCC1O2,0.185299
CC(C)(C)OC(=N)C#C,0.166819
OCC#CC12CN1CC2,0.147152
OC12C=CC3C1OC23,0.106679
N#CC1CC2CC12C#N,0.113792
NC1=C(C=O)C2CN2C1,0.136854
O=CNCCCC1CO1,0.170189
OCC1=CCCOC1,0.154473
NC(=O)C1CC2(CC2)O1,0.146965
C1COCC=CC#CC1,0.16103
OC1=CNC(NC=O)=N1,0.102984
CC1C=CCOC1CO,0.18316
CC(C)C1=CC=C(O)N1,0.170604
CC1OC(C#N)C1C,0.141295
O=CC1CN1CC#C,0.116393
CCC1=COC=CC1=O,0.13704
CC(C)C(=O)NC(N)=O,0.157721
CC1CCC(O)C1,0.17255
N=C1C=NC=CNC1=O,0.103341
CC1C(O)CC1(N)C#N,0.158641
CC1C(C)(O)C1(C)C#C,0.177874
OCC1OC11CCOC1,0.159149
NC1=CC2=C(N1)C=CN2,0.127943
OCC1(O)COC=NC1,0.148094
CC(C)(C=O)C#C,0.121148
CC1OCC2CN3C2C13,0.173377
CC12CC(C1)OC(=O)O2,0.136483
OCC1CC(C=O)C=C1,0.1585
NC1=NC(N)=C(N1)C#N,0.103575
COC1C(NC1=O)C=O,0.121852
OC1=NC(=CN1)C#C,0.084586
CC12CC3C4C3N1C24,0.144053
CCCN(C=O)C(N)=O,0.158708
CNC(=O)N1CCC1,0.154601
C1OC2CCOCC2O1,0.162279
COC12CCC3OC1C23,0.159775
CC#CC1C2COC12,0.129543
NC(=O)NC1CC2NC12,0.149383
CN=C1N=CC=CC=N1,0.125303
CC(=O)NCC(C)(C)O,0.190721
NC12C3CC1N3C2C#N,0.125418
CC1C(C)C1C1CCC1,0.228945
CC12NC1(C=O)C1NC21,0.135528
CC1=CC2OC2(C)C1=O,0.134201
OC1CC2NC11COC21,0.149231
CC1=CC2CC2OC1=O,0.13654
CC12CC1(CO)C1CC21,0.182244
CC12C=CC3(C)CC1C23,0.182702
CN=C1NC=C(O1)C=O,0.111867
C1NC23COC4C2NC134,0.138415
COC1=C(N=CO1)C#C,0.099656
OC1(CCC=C1)C1CC1,0.182995
CCC1=NC=C(OC)O1,0.14706
CCOC1=NCCOC1,0.171493
CC1=CNC=C1N,0.126502
OC12C3CC1=CC(=O)C23,0.112128
O=C1OC2C3C4C3C1C24,0.115689
COCC1OC1C#C,0.127321
CCC1(CC2NC12)C#N,0.159653
CC1(OCC1O)C1CC1,0.180861
NC(=O)N1C=CC(O)=N1,0.102378
CC1CC(=O)C1(C)C#N,0.145563
NC(=O)CC#CC#N,0.082563
O=CC1=NC(=O)NC=N1,0.07903
CCOC(=O)C(O)C#C,0.132201
CC(C)C1(CC#C)CC1,0.203145
NC(=O)C1CCCO1,0.143833
OC1(CCC(=O)C1)C=O,0.134058
CNC(=O)C(C)CO,0.163652
CC1OC(=O)N(C)C1=O,0.12413
CCCCC(=O)CO,0.174361
CNC1=CC=CC(F)=C1,0.136846
CN=CNC(=O)C1CC1,0.15892
CN=C(NC=N)C(C)=O,0.145833
O=C1N=CC=CC=N1,0.085837
CC1=NC2=C(NC=C2)O1,0.114736
CNC1C(C#C)C1C#N,0.134537
CCC1=NC=C(C)N=C1,0.160085
OC12C3C4C(C1N34)C2=O,0.101183
CC#CC1=NNC(N)=C1,0.125094
OC12COC1C=CC2=O,0.112924
CC(C)(C=O)C(O)C#C,0.154034
